Time,Time Code,Country Name,Country Code,Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],Population in urban agglomerations of more than 1 million (% of total population) [EN.URB.MCTY.TL.ZS]
2000,YR2000,Afghanistan,AFG,22.078,..,77.922,12.2862979661957
2000,YR2000,Australia,AUS,84.235,2.73432633187857,15.765,59.2808049608168
2000,YR2000,France,FRA,75.871,0.0697444063968902,24.129,22.4224649919312
2000,YR2000,Germany,DEU,74.965,0.0941468902454084,25.035,8.83031241806196
2000,YR2000,Indonesia,IDN,42.002,11.1257366947505,57.998,11.9494369618028
2000,YR2000,United States,USA,79.057,1.11328917528516,20.943,43.7913755280465
2000,YR2000,United Kingdom,GBR,78.651,1.05085122197897,21.349,25.7014652150866
2000,YR2000,United Arab Emirates,ARE,80.236,22.3844177151254,19.764,57.0625643255205
2001,YR2001,Afghanistan,AFG,22.169,..,77.831,12.7407379039844
2001,YR2001,Australia,AUS,84.1,3.26407566374002,15.9,58.6600850513842
2001,YR2001,France,FRA,76.127,0.0631486455288891,23.873,22.4129027619686
2001,YR2001,Germany,DEU,75.17,0.131528983850298,24.83,8.85699774468526
2001,YR2001,Indonesia,IDN,42.783,9.29197183116353,57.217,11.9926146837917
2001,YR2001,United States,USA,79.234,0.915678454324647,20.766,43.8094802291709
2001,YR2001,United Kingdom,GBR,78.751,0.937004459646389,21.249,25.7080853610269
2001,YR2001,United Arab Emirates,ARE,80.655,17.5963966616315,19.345,57.7835144366362
2002,YR2002,Afghanistan,AFG,22.261,1.27614880703829,77.739,12.4798669120986
2002,YR2002,Australia,AUS,84.222,2.91246931710995,15.778,58.7386747821644
2002,YR2002,France,FRA,76.38,0.0568378905466392,23.62,22.4037685634489
2002,YR2002,Germany,DEU,75.374,0.104825753269086,24.626,8.87187237444446
2002,YR2002,Indonesia,IDN,43.568,7.28595475221916,56.432,12.0430974355906
2002,YR2002,United States,USA,79.409,0.689227378994075,20.591,43.8598992960954
2002,YR2002,United Kingdom,GBR,79.047,0.81283767292158,20.953,25.7605922296837
2002,YR2002,United Arab Emirates,ARE,81.067,16.2376283737788,18.933,58.6719983047372
2003,YR2003,Afghanistan,AFG,22.353,0.731312589343673,77.647,12.0916108673256
2003,YR2003,Australia,AUS,84.343,2.4632460832839,15.657,58.8117472485942
2003,YR2003,France,FRA,76.632,0.0512489501024358,23.368,22.39879486586
2003,YR2003,Germany,DEU,75.577,0.0963792384818933,24.423,8.88169889767846
2003,YR2003,Indonesia,IDN,44.356,7.1428118800621,55.644,12.1006169796725
2003,YR2003,United States,USA,79.583,1.0459220644239,20.417,43.9449775404797
2003,YR2003,United Kingdom,GBR,79.339,0.762200302418188,20.661,25.8023406382459
2003,YR2003,United Arab Emirates,ARE,81.472,19.2061128677808,18.528,59.7200220378278
2004,YR2004,Afghanistan,AFG,22.5,0.458919792113206,77.5,12.0324149848997
2004,YR2004,Australia,AUS,84.463,3.14042166653573,15.537,58.9355081558856
2004,YR2004,France,FRA,76.883,0.0406259517392784,23.117,22.3885746714738
